feature_name,estimate,source
Intercept,-2.249651943366387,python_lr_l2_c1.0
age,-0.06516812682633608,python_lr_l2_c1.0
campaign,-0.0870451312074339,python_lr_l2_c1.0
pdays,-0.04951237513402911,python_lr_l2_c1.0
previous,-0.12919906780706966,python_lr_l2_c1.0
emp_var_rate,-0.833022723356405,python_lr_l2_c1.0
cons_price_idx,0.0185587674248638,python_lr_l2_c1.0
cons_conf_idx,-0.4032711982401336,python_lr_l2_c1.0
euribor3m,1.1155340024517246,python_lr_l2_c1.0
nr_employed,-0.5056453659583291,python_lr_l2_c1.0
job_blue-collar,0.07231148877376653,python_lr_l2_c1.0
job_entrepreneur,0.05959826843537848,python_lr_l2_c1.0
job_housemaid,-0.24045170304260371,python_lr_l2_c1.0
job_management,0.08420536952828897,python_lr_l2_c1.0
job_retired,0.5704455681962076,python_lr_l2_c1.0
job_self-employed,0.04749236799613017,python_lr_l2_c1.0
job_services,0.015718454832526582,python_lr_l2_c1.0
job_student,0.34446183584978396,python_lr_l2_c1.0
job_technician,-0.033951225029444754,python_lr_l2_c1.0
job_unemployed,-0.12575978218175984,python_lr_l2_c1.0
job_unknown,0.23496872742435154,python_lr_l2_c1.0
marital_married,-0.0014729535322924828,python_lr_l2_c1.0
marital_single,0.033189388008900915,python_lr_l2_c1.0
marital_unknown,0.7400931102291146,python_lr_l2_c1.0
education_basic.6y,0.22925495673683818,python_lr_l2_c1.0
education_basic.9y,0.1308909722451517,python_lr_l2_c1.0
education_high.school,0.14055110022080095,python_lr_l2_c1.0
education_illiterate,0.5694624843765702,python_lr_l2_c1.0
education_professional.course,0.08131345042726616,python_lr_l2_c1.0
education_university.degree,0.2224253616692388,python_lr_l2_c1.0
education_unknown,0.12160427670687977,python_lr_l2_c1.0
default_unknown,-0.0959617439278016,python_lr_l2_c1.0
default_yes,-0.0660506490607828,python_lr_l2_c1.0
housing_unknown,-0.1722103322300844,python_lr_l2_c1.0
housing_yes,-0.04485979481873701,python_lr_l2_c1.0
loan_unknown,-0.1722103322300844,python_lr_l2_c1.0
loan_yes,-0.014429330504635426,python_lr_l2_c1.0
contact_telephone,-0.2865126864097095,python_lr_l2_c1.0
month_aug,0.26378416023704643,python_lr_l2_c1.0
month_dec,-0.08855083224998825,python_lr_l2_c1.0
month_jul,-0.3577830615987832,python_lr_l2_c1.0
month_jun,-0.3375849011074579,python_lr_l2_c1.0
month_mar,0.6193903243860139,python_lr_l2_c1.0
month_may,-0.9180559500729388,python_lr_l2_c1.0
month_nov,-1.2871279616231237,python_lr_l2_c1.0
month_oct,1.0542788595537649,python_lr_l2_c1.0
month_sep,0.0,python_lr_l2_c1.0
day_of_week_mon,-0.255846317904351,python_lr_l2_c1.0
day_of_week_thu,-0.14783312521813666,python_lr_l2_c1.0
day_of_week_tue,-0.13777188798034148,python_lr_l2_c1.0
day_of_week_wed,0.06059949889273071,python_lr_l2_c1.0
poutcome_nonexistent,-0.15593187728904978,python_lr_l2_c1.0
poutcome_success,-0.23712016900574867,python_lr_l2_c1.0
