percentile,depth_pct,tertile_label,p_hat_min,p_hat_max,p_hat_mean,contacts_in_bin,responders_in_bin,response_rate_in_bin,cumulative_contacts,cumulative_responders,cumulative_response_rate,cumulative_responders_pct,lift,random_model_pct,test_set_base_rate,full_dataset_base_rate,is_t1t2_cutoff
1,0.010037,T1 High,0.715177,0.890343,0.77245,62,36,0.580645,62,36,0.580645,0.015158,1.510166,0.010037,0.384491,0.112663,False
2,0.020074,T1 High,0.621623,0.714397,0.672429,62,25,0.403226,124,61,0.491935,0.025684,1.279446,0.020074,0.384491,0.112663,False
3,0.030112,T1 High,0.475518,0.621539,0.550717,62,31,0.5,186,92,0.494624,0.038737,1.286438,0.030112,0.384491,0.112663,False
4,0.040149,T1 High,0.410666,0.473797,0.440807,62,34,0.548387,248,126,0.508065,0.053053,1.321395,0.040149,0.384491,0.112663,False
5,0.050024,T1 High,0.374444,0.410049,0.387863,61,29,0.47541,309,155,0.501618,0.065263,1.304629,0.050024,0.384491,0.112663,False
6,0.060062,T1 High,0.347642,0.372962,0.359627,62,32,0.516129,371,187,0.504043,0.078737,1.310936,0.060062,0.384491,0.112663,False
7,0.070099,T1 High,0.328859,0.347166,0.336604,62,22,0.354839,433,209,0.482679,0.088,1.255371,0.070099,0.384491,0.112663,False
8,0.080136,T1 High,0.314688,0.328645,0.321749,62,33,0.532258,495,242,0.488889,0.101895,1.271522,0.080136,0.384491,0.112663,False
9,0.090011,T1 High,0.301787,0.314639,0.307879,61,30,0.491803,556,272,0.489209,0.114526,1.272354,0.090011,0.384491,0.112663,False
10,0.100049,T1 High,0.286255,0.301787,0.293195,62,31,0.5,618,303,0.490291,0.127579,1.27517,0.100049,0.384491,0.112663,False
11,0.110086,T1 High,0.277507,0.286223,0.281922,62,26,0.419355,680,329,0.483824,0.138526,1.258348,0.110086,0.384491,0.112663,False
12,0.120123,T1 High,0.269862,0.277286,0.273586,62,29,0.467742,742,358,0.48248,0.150737,1.254853,0.120123,0.384491,0.112663,False
13,0.13016,T1 High,0.260474,0.269841,0.265258,62,26,0.419355,804,384,0.477612,0.161684,1.242193,0.13016,0.384491,0.112663,False
14,0.140036,T1 High,0.252358,0.260381,0.256448,61,30,0.491803,865,414,0.478613,0.174316,1.244796,0.140036,0.384491,0.112663,False
15,0.150073,T1 High,0.245538,0.252274,0.24925,62,33,0.532258,927,447,0.482201,0.188211,1.254127,0.150073,0.384491,0.112663,False
16,0.16011,T1 High,0.237387,0.245536,0.241593,62,31,0.5,989,478,0.483316,0.201263,1.257029,0.16011,0.384491,0.112663,False
17,0.170147,T1 High,0.231386,0.237321,0.234257,62,30,0.483871,1051,508,0.483349,0.213895,1.257114,0.170147,0.384491,0.112663,False
18,0.180023,T1 High,0.226107,0.231386,0.228583,61,22,0.360656,1112,530,0.476619,0.223158,1.23961,0.180023,0.384491,0.112663,False
19,0.19006,T1 High,0.221428,0.225965,0.22373,62,32,0.516129,1174,562,0.478705,0.236632,1.245036,0.19006,0.384491,0.112663,False
20,0.200097,T1 High,0.216252,0.221402,0.219035,62,27,0.435484,1236,589,0.476537,0.248,1.239398,0.200097,0.384491,0.112663,False
21,0.210134,T1 High,0.212076,0.216211,0.214264,62,22,0.354839,1298,611,0.470724,0.257263,1.224279,0.210134,0.384491,0.112663,False
22,0.22001,T1 High,0.2074,0.211696,0.209578,61,31,0.508197,1359,642,0.472406,0.270316,1.228653,0.22001,0.384491,0.112663,False
23,0.230047,T1 High,0.202615,0.207398,0.204875,62,26,0.419355,1421,668,0.470091,0.281263,1.222633,0.230047,0.384491,0.112663,False
24,0.240084,T1 High,0.198101,0.20256,0.200178,62,27,0.435484,1483,695,0.468645,0.292632,1.21887,0.240084,0.384491,0.112663,False
25,0.250121,T1 High,0.192387,0.198078,0.195447,62,23,0.370968,1545,718,0.464725,0.302316,1.208676,0.250121,0.384491,0.112663,False
26,0.260159,T1 High,0.187278,0.192241,0.189991,62,30,0.483871,1607,748,0.465464,0.314947,1.210597,0.260159,0.384491,0.112663,False
27,0.270034,T1 High,0.182881,0.187277,0.185059,61,25,0.409836,1668,773,0.463429,0.325474,1.205306,0.270034,0.384491,0.112663,False
28,0.280071,T1 High,0.177243,0.182836,0.180453,62,24,0.387097,1730,797,0.460694,0.335579,1.198191,0.280071,0.384491,0.112663,False
29,0.290108,T1 High,0.171975,0.177243,0.174819,62,27,0.435484,1792,824,0.459821,0.346947,1.195922,0.290108,0.384491,0.112663,False
30,0.300146,T1 High,0.166987,0.171891,0.16955,62,27,0.435484,1854,851,0.459008,0.358316,1.193806,0.300146,0.384491,0.112663,False
31,0.310021,T1 High,0.161724,0.166974,0.164191,61,23,0.377049,1915,874,0.456397,0.368,1.187016,0.310021,0.384491,0.112663,False
